StatusSNS,url,local_timestamp
"{'Time': '2024-08-30T03:09:38', 'ENERGY': {'TotalStartTime': '2024-04-21T06:49:23', 'Total': 259.401, 'Yesterday': 2.054, 'Today': 0.286, 'Power': 362, 'ApparentPower': 403, 'ReactivePower': 177, 'Factor': 0.9, 'Voltage': 223, 'Current': 1.804}}",http://192.168.2.159/cm?cmnd=Status+10,2024-08-30 12:09:39
"{'Time': '2024-08-30T03:09:53', 'ENERGY': {'TotalStartTime': '2024-04-21T06:49:23', 'Total': 259.403, 'Yesterday': 2.054, 'Today': 0.288, 'Period': 0, 'Power': 362, 'ApparentPower': 404, 'ReactivePower': 178, 'Factor': 0.9, 'Voltage': 224, 'Current': 1.799}}",http://192.168.2.159/cm?cmnd=Status+10,2024-08-30 12:09:54
"{'Time': '2024-08-30T03:10:08', 'ENERGY': {'TotalStartTime': '2024-04-21T06:49:23', 'Total': 259.404, 'Yesterday': 2.054, 'Today': 0.289, 'Power': 361, 'ApparentPower': 403, 'ReactivePower': 179, 'Factor': 0.9, 'Voltage': 224, 'Current': 1.799}}",http://192.168.2.159/cm?cmnd=Status+10,2024-08-30 12:10:09
"{'Time': '2024-08-30T03:10:23', 'ENERGY': {'TotalStartTime': '2024-04-21T06:49:23', 'Total': 259.406, 'Yesterday': 2.054, 'Today': 0.291, 'Period': 0, 'Power': 361, 'ApparentPower': 403, 'ReactivePower': 179, 'Factor': 0.9, 'Voltage': 225, 'Current': 1.794}}",http://192.168.2.159/cm?cmnd=Status+10,2024-08-30 12:10:24
"{'Time': '2024-08-30T03:10:38', 'ENERGY': {'TotalStartTime': '2024-04-21T06:49:23', 'Total': 259.408, 'Yesterday': 2.054, 'Today': 0.292, 'Power': 360, 'ApparentPower': 401, 'ReactivePower': 176, 'Factor': 0.9, 'Voltage': 223, 'Current': 1.794}}",http://192.168.2.159/cm?cmnd=Status+10,2024-08-30 12:10:39
"{'Time': '2024-08-30T03:10:53', 'ENERGY': {'TotalStartTime': '2024-04-21T06:49:23', 'Total': 259.408, 'Yesterday': 2.054, 'Today': 0.292, 'Period': 0, 'Power': 24, 'ApparentPower': 25, 'ReactivePower': 8, 'Factor': 0.94, 'Voltage': 227, 'Current': 0.11}}",http://192.168.2.159/cm?cmnd=Status+10,2024-08-30 12:10:54
"{'Time': '2024-08-30T03:11:09', 'ENERGY': {'TotalStartTime': '2024-04-21T06:49:23', 'Total': 259.408, 'Yesterday': 2.054, 'Today': 0.293, 'Power': 24, 'ApparentPower': 25, 'ReactivePower': 7, 'Factor': 0.96, 'Voltage': 228, 'Current': 0.108}}",http://192.168.2.159/cm?cmnd=Status+10,2024-08-30 12:11:10
"{'Time': '2024-08-30T03:11:24', 'ENERGY': {'TotalStartTime': '2024-04-21T06:49:23', 'Total': 259.408, 'Yesterday': 2.054, 'Today': 0.293, 'Power': 23, 'ApparentPower': 24, 'ReactivePower': 8, 'Factor': 0.94, 'Voltage': 226, 'Current': 0.107}}",http://192.168.2.159/cm?cmnd=Status+10,2024-08-30 12:11:25
"{'Time': '2024-08-30T03:11:39', 'ENERGY': {'TotalStartTime': '2024-04-21T06:49:23', 'Total': 259.408, 'Yesterday': 2.054, 'Today': 0.293, 'Power': 22, 'ApparentPower': 24, 'ReactivePower': 8, 'Factor': 0.95, 'Voltage': 223, 'Current': 0.106}}",http://192.168.2.159/cm?cmnd=Status+10,2024-08-30 12:11:40
"{'Time': '2024-08-30T03:11:54', 'ENERGY': {'TotalStartTime': '2024-04-21T06:49:23', 'Total': 259.408, 'Yesterday': 2.054, 'Today': 0.293, 'Power': 23, 'ApparentPower': 24, 'ReactivePower': 8, 'Factor': 0.95, 'Voltage': 223, 'Current': 0.107}}",http://192.168.2.159/cm?cmnd=Status+10,2024-08-30 12:11:55
"{'Time': '2024-08-30T03:12:09', 'ENERGY': {'TotalStartTime': '2024-04-21T06:49:23', 'Total': 259.408, 'Yesterday': 2.054, 'Today': 0.293, 'Power': 23, 'ApparentPower': 24, 'ReactivePower': 8, 'Factor': 0.94, 'Voltage': 224, 'Current': 0.107}}",http://192.168.2.159/cm?cmnd=Status+10,2024-08-30 12:12:10
"{'Time': '2024-08-30T03:12:24', 'ENERGY': {'TotalStartTime': '2024-04-21T06:49:23', 'Total': 259.408, 'Yesterday': 2.054, 'Today': 0.293, 'Power': 23, 'ApparentPower': 25, 'ReactivePower': 9, 'Factor': 0.92, 'Voltage': 225, 'Current': 0.109}}",http://192.168.2.159/cm?cmnd=Status+10,2024-08-30 12:12:25
"{'Time': '2024-08-30T03:12:39', 'ENERGY': {'TotalStartTime': '2024-04-21T06:49:23', 'Total': 259.408, 'Yesterday': 2.054, 'Today': 0.293, 'Power': 23, 'ApparentPower': 25, 'ReactivePower': 9, 'Factor': 0.93, 'Voltage': 225, 'Current': 0.109}}",http://192.168.2.159/cm?cmnd=Status+10,2024-08-30 12:12:40
"{'Time': '2024-08-30T03:12:54', 'ENERGY': {'TotalStartTime': '2024-04-21T06:49:23', 'Total': 259.409, 'Yesterday': 2.054, 'Today': 0.293, 'Power': 23, 'ApparentPower': 24, 'ReactivePower': 8, 'Factor': 0.95, 'Voltage': 225, 'Current': 0.107}}",http://192.168.2.159/cm?cmnd=Status+10,2024-08-30 12:12:55
"{'Time': '2024-08-30T03:13:09', 'ENERGY': {'TotalStartTime': '2024-04-21T06:49:23', 'Total': 259.409, 'Yesterday': 2.054, 'Today': 0.293, 'Power': 23, 'ApparentPower': 24, 'ReactivePower': 8, 'Factor': 0.94, 'Voltage': 225, 'Current': 0.108}}",http://192.168.2.159/cm?cmnd=Status+10,2024-08-30 12:13:11
"{'Time': '2024-08-30T03:13:24', 'ENERGY': {'TotalStartTime': '2024-04-21T06:49:23', 'Total': 259.409, 'Yesterday': 2.054, 'Today': 0.293, 'Power': 23, 'ApparentPower': 24, 'ReactivePower': 7, 'Factor': 0.95, 'Voltage': 226, 'Current': 0.107}}",http://192.168.2.159/cm?cmnd=Status+10,2024-08-30 12:13:26
"{'Time': '2024-08-30T03:13:40', 'ENERGY': {'TotalStartTime': '2024-04-21T06:49:23', 'Total': 259.409, 'Yesterday': 2.054, 'Today': 0.294, 'Power': 24, 'ApparentPower': 25, 'ReactivePower': 8, 'Factor': 0.95, 'Voltage': 230, 'Current': 0.108}}",http://192.168.2.159/cm?cmnd=Status+10,2024-08-30 12:13:41
"{'Time': '2024-08-30T03:13:55', 'ENERGY': {'TotalStartTime': '2024-04-21T06:49:23', 'Total': 259.409, 'Yesterday': 2.054, 'Today': 0.294, 'Power': 23, 'ApparentPower': 24, 'ReactivePower': 8, 'Factor': 0.94, 'Voltage': 226, 'Current': 0.107}}",http://192.168.2.159/cm?cmnd=Status+10,2024-08-30 12:13:56
"{'Time': '2024-08-30T03:14:10', 'ENERGY': {'TotalStartTime': '2024-04-21T06:49:23', 'Total': 259.409, 'Yesterday': 2.054, 'Today': 0.294, 'Power': 23, 'ApparentPower': 24, 'ReactivePower': 9, 'Factor': 0.93, 'Voltage': 227, 'Current': 0.107}}",http://192.168.2.159/cm?cmnd=Status+10,2024-08-30 12:14:11
"{'Time': '2024-08-30T03:14:25', 'ENERGY': {'TotalStartTime': '2024-04-21T06:49:23', 'Total': 259.409, 'Yesterday': 2.054, 'Today': 0.294, 'Power': 23, 'ApparentPower': 24, 'ReactivePower': 7, 'Factor': 0.95, 'Voltage': 228, 'Current': 0.106}}",http://192.168.2.159/cm?cmnd=Status+10,2024-08-30 12:14:26
"{'Time': '2024-08-30T03:14:40', 'ENERGY': {'TotalStartTime': '2024-04-21T06:49:23', 'Total': 259.409, 'Yesterday': 2.054, 'Today': 0.294, 'Power': 24, 'ApparentPower': 26, 'ReactivePower': 10, 'Factor': 0.93, 'Voltage': 233, 'Current': 0.11}}",http://192.168.2.159/cm?cmnd=Status+10,2024-08-30 12:14:41
"{'Time': '2024-08-30T03:14:55', 'ENERGY': {'TotalStartTime': '2024-04-21T06:49:23', 'Total': 259.409, 'Yesterday': 2.054, 'Today': 0.294, 'Power': 24, 'ApparentPower': 25, 'ReactivePower': 9, 'Factor': 0.93, 'Voltage': 233, 'Current': 0.109}}",http://192.168.2.159/cm?cmnd=Status+10,2024-08-30 12:14:56
"{'Time': '2024-08-30T03:15:10', 'ENERGY': {'TotalStartTime': '2024-04-21T06:49:23', 'Total': 259.409, 'Yesterday': 2.054, 'Today': 0.294, 'Power': 24, 'ApparentPower': 25, 'ReactivePower': 9, 'Factor': 0.93, 'Voltage': 233, 'Current': 0.109}}",http://192.168.2.159/cm?cmnd=Status+10,2024-08-30 12:15:11
"{'Time': '2024-08-30T03:15:25', 'ENERGY': {'TotalStartTime': '2024-04-21T06:49:23', 'Total': 259.409, 'Yesterday': 2.054, 'Today': 0.294, 'Power': 23, 'ApparentPower': 25, 'ReactivePower': 9, 'Factor': 0.93, 'Voltage': 233, 'Current': 0.108}}",http://192.168.2.159/cm?cmnd=Status+10,2024-08-30 12:15:26
"{'Time': '2024-08-30T03:15:40', 'ENERGY': {'TotalStartTime': '2024-04-21T06:49:23', 'Total': 259.41, 'Yesterday': 2.054, 'Today': 0.294, 'Power': 23, 'ApparentPower': 25, 'ReactivePower': 9, 'Factor': 0.93, 'Voltage': 232, 'Current': 0.108}}",http://192.168.2.159/cm?cmnd=Status+10,2024-08-30 12:15:41
"{'Time': '2024-08-30T03:15:55', 'ENERGY': {'TotalStartTime': '2024-04-21T06:49:23', 'Total': 259.41, 'Yesterday': 2.054, 'Today': 0.294, 'Power': 23, 'ApparentPower': 24, 'ReactivePower': 8, 'Factor': 0.94, 'Voltage': 231, 'Current': 0.106}}",http://192.168.2.159/cm?cmnd=Status+10,2024-08-30 12:15:56
"{'Time': '2024-08-30T03:16:10', 'ENERGY': {'TotalStartTime': '2024-04-21T06:49:23', 'Total': 259.41, 'Yesterday': 2.054, 'Today': 0.295, 'Power': 23, 'ApparentPower': 25, 'ReactivePower': 9, 'Factor': 0.93, 'Voltage': 230, 'Current': 0.108}}",http://192.168.2.159/cm?cmnd=Status+10,2024-08-30 12:16:11
"{'Time': '2024-08-30T03:16:25', 'ENERGY': {'TotalStartTime': '2024-04-21T06:49:23', 'Total': 259.41, 'Yesterday': 2.054, 'Today': 0.295, 'Power': 23, 'ApparentPower': 25, 'ReactivePower': 10, 'Factor': 0.92, 'Voltage': 228, 'Current': 0.108}}",http://192.168.2.159/cm?cmnd=Status+10,2024-08-30 12:16:27
"{'Time': '2024-08-30T03:16:41', 'ENERGY': {'TotalStartTime': '2024-04-21T06:49:23', 'Total': 259.41, 'Yesterday': 2.054, 'Today': 0.295, 'Power': 23, 'ApparentPower': 24, 'ReactivePower': 9, 'Factor': 0.93, 'Voltage': 228, 'Current': 0.106}}",http://192.168.2.159/cm?cmnd=Status+10,2024-08-30 12:16:42
"{'Time': '2024-08-30T03:16:56', 'ENERGY': {'TotalStartTime': '2024-04-21T06:49:23', 'Total': 259.41, 'Yesterday': 2.054, 'Today': 0.295, 'Power': 23, 'ApparentPower': 24, 'ReactivePower': 9, 'Factor': 0.93, 'Voltage': 228, 'Current': 0.107}}",http://192.168.2.159/cm?cmnd=Status+10,2024-08-30 12:16:57
"{'Time': '2024-08-30T03:17:11', 'ENERGY': {'TotalStartTime': '2024-04-21T06:49:23', 'Total': 259.41, 'Yesterday': 2.054, 'Today': 0.295, 'Power': 23, 'ApparentPower': 25, 'ReactivePower': 8, 'Factor': 0.94, 'Voltage': 232, 'Current': 0.106}}",http://192.168.2.159/cm?cmnd=Status+10,2024-08-30 12:17:12
"{'Time': '2024-08-30T03:17:26', 'ENERGY': {'TotalStartTime': '2024-04-21T06:49:23', 'Total': 259.41, 'Yesterday': 2.054, 'Today': 0.295, 'Power': 23, 'ApparentPower': 25, 'ReactivePower': 8, 'Factor': 0.94, 'Voltage': 232, 'Current': 0.107}}",http://192.168.2.159/cm?cmnd=Status+10,2024-08-30 12:17:27
"{'Time': '2024-08-30T03:17:41', 'ENERGY': {'TotalStartTime': '2024-04-21T06:49:23', 'Total': 259.41, 'Yesterday': 2.054, 'Today': 0.295, 'Power': 23, 'ApparentPower': 25, 'ReactivePower': 8, 'Factor': 0.94, 'Voltage': 232, 'Current': 0.106}}",http://192.168.2.159/cm?cmnd=Status+10,2024-08-30 12:17:42
"{'Time': '2024-08-30T03:17:56', 'ENERGY': {'TotalStartTime': '2024-04-21T06:49:23', 'Total': 259.41, 'Yesterday': 2.054, 'Today': 0.295, 'Power': 23, 'ApparentPower': 25, 'ReactivePower': 10, 'Factor': 0.92, 'Voltage': 229, 'Current': 0.109}}",http://192.168.2.159/cm?cmnd=Status+10,2024-08-30 12:17:57
"{'Time': '2024-08-30T03:18:11', 'ENERGY': {'TotalStartTime': '2024-04-21T06:49:23', 'Total': 259.411, 'Yesterday': 2.054, 'Today': 0.295, 'Power': 23, 'ApparentPower': 25, 'ReactivePower': 8, 'Factor': 0.95, 'Voltage': 232, 'Current': 0.106}}",http://192.168.2.159/cm?cmnd=Status+10,2024-08-30 12:18:12
"{'Time': '2024-08-30T03:18:26', 'ENERGY': {'TotalStartTime': '2024-04-21T06:49:23', 'Total': 259.411, 'Yesterday': 2.054, 'Today': 0.295, 'Power': 23, 'ApparentPower': 25, 'ReactivePower': 8, 'Factor': 0.95, 'Voltage': 232, 'Current': 0.106}}",http://192.168.2.159/cm?cmnd=Status+10,2024-08-30 12:18:27
"{'Time': '2024-08-30T03:18:41', 'ENERGY': {'TotalStartTime': '2024-04-21T06:49:23', 'Total': 259.411, 'Yesterday': 2.054, 'Today': 0.295, 'Power': 23, 'ApparentPower': 25, 'ReactivePower': 9, 'Factor': 0.94, 'Voltage': 232, 'Current': 0.106}}",http://192.168.2.159/cm?cmnd=Status+10,2024-08-30 12:18:42
"{'Time': '2024-08-30T03:18:56', 'ENERGY': {'TotalStartTime': '2024-04-21T06:49:23', 'Total': 259.411, 'Yesterday': 2.054, 'Today': 0.296, 'Power': 23, 'ApparentPower': 25, 'ReactivePower': 8, 'Factor': 0.94, 'Voltage': 233, 'Current': 0.107}}",http://192.168.2.159/cm?cmnd=Status+10,2024-08-30 12:18:57
"{'Time': '2024-08-30T03:19:11', 'ENERGY': {'TotalStartTime': '2024-04-21T06:49:23', 'Total': 259.411, 'Yesterday': 2.054, 'Today': 0.296, 'Power': 23, 'ApparentPower': 25, 'ReactivePower': 7, 'Factor': 0.96, 'Voltage': 231, 'Current': 0.106}}",http://192.168.2.159/cm?cmnd=Status+10,2024-08-30 12:19:13
"{'Time': '2024-08-30T03:19:26', 'ENERGY': {'TotalStartTime': '2024-04-21T06:49:23', 'Total': 259.411, 'Yesterday': 2.054, 'Today': 0.296, 'Power': 23, 'ApparentPower': 25, 'ReactivePower': 9, 'Factor': 0.93, 'Voltage': 232, 'Current': 0.108}}",http://192.168.2.159/cm?cmnd=Status+10,2024-08-30 12:19:28
"{'Time': '2024-08-30T03:19:42', 'ENERGY': {'TotalStartTime': '2024-04-21T06:49:23', 'Total': 259.411, 'Yesterday': 2.054, 'Today': 0.296, 'Power': 23, 'ApparentPower': 25, 'ReactivePower': 8, 'Factor': 0.94, 'Voltage': 233, 'Current': 0.107}}",http://192.168.2.159/cm?cmnd=Status+10,2024-08-30 12:19:43
"{'Time': '2024-08-30T03:19:57', 'ENERGY': {'TotalStartTime': '2024-04-21T06:49:23', 'Total': 259.411, 'Yesterday': 2.054, 'Today': 0.296, 'Power': 23, 'ApparentPower': 25, 'ReactivePower': 9, 'Factor': 0.93, 'Voltage': 232, 'Current': 0.109}}",http://192.168.2.159/cm?cmnd=Status+10,2024-08-30 12:19:58
